,content,userName,reviewId,title,appId,score_x,thumbsUpCount,dominant_topic,dominant_topic_meaning,developer,genre,contentRating,containsAds
93,it's a great thing to be able to teach your child while having fun this app really works great it is a good learning tool for all ages and Thank You for the makers of Lucas and Friends,Steven Clifton,11a0839c-2ef2-49e2-b3dc-83c9a0aeabae,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,131,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
97,My son is 2 years old and loves this app. He's starting to mimick the letter sounds which is great because he's still learning to talk,Leslie McGowan,65182227-e9ab-4d06-8f76-19969ced0386,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,166,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
106,Free to single parents . Amazing game changer for learning . Not having to worry over expensive programs to try to compete with . This app gives disadvantaged youths the same starter programs . Absolutely was and is a game changer .,Gia BellA,609e83dd-27b7-4347-9940-38c427a23b76,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,225,0,Payment and Ads,RV AppStudios,Educational,Everyone,False
124,My daughter absolutely loves this game and it helps her learn her letters so much better!,Jenna Peterson,b0899abc-6c3f-4d38-b078-9ab726df4366,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,173,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
143,"For some reason, we can't trace capital letters after the last update. Restarting didn't work Uninstalling and reinstalling doesn't work",Tiffany Nelson,042afc0c-4244-4f54-9fa1-587cc4ef4bf5,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,2,107,2,Issues Concerns,RV AppStudios,Educational,Everyone,False
145,Excellent Learning app ...really designed to benefit kids without any greed which is the best thing about the app,KISHAN KUMAR,08a11206-511f-4940-93ec-8ed2b41a0b7d,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,146,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
169,It's really good app...I have dis game for my kid which is fun and educational too. The great thing is that it doesn't have adds...,Munira Kapasi,ff090a12-5414-40ca-af04-60a4073430c9,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,366,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
176,A fantastic app for kids and my daughter is doing it every day ❤️❤️,Norma Aisha,2cf2382c-19c4-46c4-b9bf-bb0f9ab35ed9,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,116,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
177,Superb app... My son has 1¾ years old .. He learned and enjoyed very well in this app... Really great.... Thank you so much.... it's very easy to learn for kids..... He learned tracing and phonics soooo much.... So happy....,Keerthana Sathiyaraj,c0e3cf18-bb3e-4ea1-b249-caa660765676,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,496,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
186,The game was very poor because the game is very boring for children and teenagers dont download,Anand Kumar,0f272f8a-0069-4a82-979c-a6fcdd0b153b,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,1,137,2,Issues Concerns,RV AppStudios,Educational,Everyone,False
197,This is really awesome. Thank you for this amazing educational app. My kid is always happy using it to learn how to write and say the alphabets.,Buaba Mawunya,84c2bba0-cf37-4c80-92e7-7de64f90dfb7,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,471,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
217,Great app for kids to start learning! It's completely free without any ads or in app purchases. My two year old is absolutely loving it. I can't wait to share with all my family and friends.,Kay Cee,15703ebd-5369-41e0-8343-52eed89a09ec,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,499,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
223,"the game is phenomenal like,free,no ads and no purchases,kids can learn in different ways but learning and having is the best option thank you so much for creating this game,so helpful for my cousins Thank you RV Games Happy New Year 🎊🎉",Anthonia Mendez,9fa9872c-084d-47e0-b225-e8e6b8d67cfe,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,294,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
226,Tbh I am 12 and bored so I played this game to make fun of it and it was so trash like this game some how figured how to be 2d and 3d while also being educational which looks like 💩 . After your reply I had to give you 3 stars also I hate young kids so that is the highest I can go Bye .,mgk k,62cb6ea6-2f3e-4705-8fc4-eafb1ac68f08,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,3,154,3,Graphics & Gameplay,RV AppStudios,Educational,Everyone,False
238,"It looks quite fun, the tracing letters looks exactly like what I'm after for my 7 year old who reverses her letters, but the rest of it is more for 4 year olds. The thing that really annoys me is there is no way the child can get back to the menu - they have to tap the android back button twice (which is hidden when the app is playing). If she can't control the games she plays she will stop playing it. Other than this one thing it looks great especially for a free app.",Kay Sea,c4d29b1e-aa1d-421e-a07d-540dc54cfe61,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,3,1097,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
256,Very much helpful for preschoolers to learn alphabets interactively. A great job RV app studios I request RV app studios to develop *cursive letter writing app* similar to this. I promise this will be equally helpful in improving knowledge of cursive letters in kids in a playfully manner. Please develop I'm looking forward.,Rajeshwari Ramesh,34569f36-96ae-423a-86c5-8e207992f819,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,236,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
264,"Our ​only younger sister learned abc from this app at the age of one and a half, Masha'Allah. All your apps are great. keep going on.",Syeda Rizwana Ali,aa396c9a-f96e-41bc-bf28-03334fdb322c,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,197,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
286,"My 3 year old has learned SO MUCH from this fantastic app. No adds or things he can accidentally hit, simple to use yet very effective. Awesome awesome app, I love it.",Jessica Ewald,8e4c7ef2-9fca-492e-8c78-de0de7169e20,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,483,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
298,"Awesome app for parents and kids. Let's you completely hide certain things (other apps, YouTube channel) which is great for younger kids. Best part is it's ad free!",Musab Syed,bcb9679a-4746-4c39-b7cf-dec84202f256,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,553,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
308,Free & No Ads. My kids love this. My 5 year old completed all the tasks within a week. And now my 3 year old is playing it and she is very excited. I love that you can adjust the home screen in settings to hide buttons for the shop and video. So they can only play the 6 mini games on it. Highly recommend for little learners. Wish they could unlock new games after the certificates have all been completed though.,Shadow Peacock,e35fec00-0f76-40c2-8dea-0c4a453ce0da,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,1273,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
338,"great app, no tracking, no data collected. Only gripe is the ommission of Dutch. While German, French and Spanish are great, my baby is also learning Dutch and would ve great if this wqs also included",Alejandro Manzano,fa50891a-b7b1-4f5f-9a47-512f14d75104,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,4,458,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
339,"For a FREE app this is amazing -- no ads, safety for kids so they don't leave, and it's free. A lot of work and care has been put into this app. There are some things that can always been improved on tho. Thank you to everyone who has helped put this app together Also some of y'all are blaming the game for issues with ur phone/self. Is u dumb??",alicia gannon,76448359-855e-47c1-864a-65d723933122,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,658,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
378,This was good learning app for my little one before the update. The new updated version is really bad.. It doesn't work at all. Disappointed.,Dr Dipti Neha,cd6e6abf-5395-4d22-a65f-6f00ba82678b,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,1,614,2,Issues Concerns,RV AppStudios,Educational,Everyone,False
382,"App unusable on tablet after Mar1 2023 update. App not always responsive to touchscreen (all other apps work). ""Next"" arrow at bottom right of screen gone (cannot find any options for this in settings) - unable to proceed. App continues to work on phone after Mar1 2023 update.",Linda Humphrey,8d872c22-0425-4b50-b73a-c17d09d52c57,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,1,120,2,Issues Concerns,RV AppStudios,Educational,Everyone,False
386,this was good before. The last update seems to have broken various modes and made my little ones sad. The very 1st alphabet mode doesnt progress to the next letter after u complete drawing it's shape. just says well done and hangs. the other mode with matching the top row of baloons to the bottom row does absolutely nothing and doesn't respond to touch at all.,-Z-,621461f8-861c-4411-a995-e9ebf1c857b8,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,2,1046,3,Graphics & Gameplay,RV AppStudios,Educational,Everyone,False
415,"App is good but once the game to choose stickers comes on, the screen freezes and won't move on. This happens after a few alphabets then we need to log off and start again. What should we do when asked to choose a sticker, as no amount of pressing helps?",Zoezie Maphalala,d3fcebd5-0439-4001-9cd0-a3705ee08f39,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,3,710,2,Issues Concerns,RV AppStudios,Educational,Everyone,False
419,This app is a great app for letter recognition and tracing. It is easy to use and even gives a report card on how your child is performing.,Katie Isenberg,5c275704-71e3-4ce8-9beb-903a4f941cfe,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,260,0,Payment and Ads,RV AppStudios,Educational,Everyone,False
467,"I just did a run through to see if it would be a good option for a 2 year old to get the feel of writing memorizing and speaking. It's enough to keep their attention, it reminds you of a learning cartoon most kids like to watch. We will be giving it a go tomorrow.",DeeDee,58607ebf-048a-43fb-89f6-843f781cc47d,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,134,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
471,"For a free app, this is VERY decent! My 2 year old will choose to play it over others for his screen time app... even over YouTube kids! And there aren't ads that he can accidentally click either! Yes! He doesn't feel bad when he chooses the wrong letter (giggles at the noise), but still prefers the reward sounds for choosing the correct letter. He does well with the other modes too. EDIT: I like this one so much that I decided to download their numbers app too ♡",Moriah Kramer,33c0eece-fdb7-4d3f-a62f-01a18125d976,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,1268,3,Graphics & Gameplay,RV AppStudios,Educational,Everyone,False
474,"Love this app! My 3 year old absolutely loves learning with this app . I recommend this for all parents , it's actually free and there is no distracting inappropriate ads . I couldn't ask for a better app!! I have not one complaint Great job",Young Queen Cole,9d69007e-418a-456e-aa2d-8ed02d379c65,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,363,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
476,My 5 year old traced her letters for the first time by herself today! 😭 I saw your app and thought we'd try it. She had a stroke as a baby and has a developmental delay. This was the first letters app she was able to connect with. The positive reinforcement stickers are just icing on the cake. ♥️,Amanda,897a2777-194e-4444-8dbe-23de1cdab4c0,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,418,2,Issues Concerns,RV AppStudios,Educational,Everyone,False
490,All the apps from rv appstudios are great theyre better than abc mouse or any other learning game/app in my opinion. If you guys made an ABC mouse type of app with a subscription I'd have purchased that instead!,Margi Carroll,9cf997a2-ba35-4b1a-b64d-0e4fb2accf39,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,139,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
502,"This app is really good! I love it!! I am an 30 year old man, but i dont care.. Im gonna still play this game, its the best!💕",Cure,9bf7048b-cab0-4e25-99f5-975bf0974132,PBS KIDS Games App,org.pbskids.gamesapp,5,120,1,Praise and Comparisons,PBS KIDS,Educational,Everyone,False
510,"Generally, we love this app. My kids enjoy Wild Kratts, the train track builder, and many more. However, the train track builder needs to be edited to have challenges pop up on the SIDE rather than through the already made tracks. My son is currently in tears because a river just got added to his train tracks and sliced all his tracks in half, making none of them connect. I realize it's supposed to be a challenge, but it doesn't have to destroy what he already made. Please fix this. Thank you.",Holly J,0c942f43-5f8a-4680-89e1-512c9d6b89da,PBS KIDS Games App,org.pbskids.gamesapp,4,205,3,Graphics & Gameplay,PBS KIDS,Educational,Everyone,False
511,My gb's watch for 2 hours sometimes and it's full of decent programs that children 6&8 enjoy. Two thumbs up for sure!!,Debra Campbell,6bf7f408-8a18-4270-9504-8dfb24743ccc,PBS KIDS Games App,org.pbskids.gamesapp,5,122,0,Payment and Ads,PBS KIDS,Educational,Everyone,False
514,my 3 year old loves to play with the characters from her favorite shows. I love the fact this app let's me interact with her when she wants attention while playing games.,Andrew Cross,8315015a-5f6a-433d-bab6-c7fc367b69c4,PBS KIDS Games App,org.pbskids.gamesapp,5,245,1,Praise and Comparisons,PBS KIDS,Educational,Everyone,False
520,amazing! my 7 year old loves this game there is a glitch with the race car game when she would push the restart button it would glitch and also the dress up game glitched to you can't touch anything and the character stairs at you but everything else is perfect!,Cynthia Ridgeway,dc04b15a-00e5-4f45-8b12-09ecb406e7d7,PBS KIDS Games App,org.pbskids.gamesapp,5,174,2,Issues Concerns,PBS KIDS,Educational,Everyone,False
530,I'm a teacher and my kids love it when we have indoor recess they always ask can we watch pbs kids and I say yes it is a learning app for kids. I love it,lynn davis,0d751604-3ffb-44f5-9cb9-a2062203f4d1,PBS KIDS Games App,org.pbskids.gamesapp,5,290,1,Praise and Comparisons,PBS KIDS,Educational,Everyone,False
533,My 5 year old loves the games on here. Normally i dont let my kid play games but this is very kid friendly. Only problem i have is that you're supposed to be able to play the games you've already downloaded OFFLINE. It's only allowed my child to play offline once and that was only 3 games. The 20+ other games downloaded won't show up. All other times i open the app offline and it just stays on the loading screen. Even tried letting it sit there for 30 minutes but just stayed on loading screen,Terry Sweet,bfa55cfb-4665-4760-94b5-9d2c614789e3,PBS KIDS Games App,org.pbskids.gamesapp,4,485,2,Issues Concerns,PBS KIDS,Educational,Everyone,False
557,"kart kingdom racing was not an emotinal roller coaster, but a emotinal race, it was high speed and very fun!! rainbow run wasnt very fun but mostly was a good game, and i like the piano game of the day thing where its the classic pbs kids theme in piano form, also if you scroll down or high up enough you can see either gears (high) or the sea (low) all around 5 star app",Yoda Productions,5c698ca8-37c4-49b2-9556-4a62e40fb6b3,PBS KIDS Games App,org.pbskids.gamesapp,5,139,3,Graphics & Gameplay,PBS KIDS,Educational,Everyone,False
559,"Lots of games, but there is no way to curate the list, so you have educational content mixed in with time wasters. Also, a very long delay whenever leaving a game. Khan Academy app is far superior. This app is going in the trash until being able to curate the games is added.",Charlie&Olivia Love,2497c550-ffd5-4cc2-b008-a8fd072a32a8,PBS KIDS Games App,org.pbskids.gamesapp,3,103,2,Issues Concerns,PBS KIDS,Educational,Everyone,False
572,"I love this game but I'd make a couple changes. The first one is that when you tap the characters and they say something, please get the actual voice actors to do it. Kids would recognize their voices more. And lastly for the games that you can make your own something, please remove where while you're focusing on doing something they say stuff to distract you. I would appreciate that :D",HIEDI ANN,b0eb82b8-eb80-4e97-9691-7cfe4483286b,PBS KIDS Games App,org.pbskids.gamesapp,3,104,3,Graphics & Gameplay,PBS KIDS,Educational,Everyone,False
582,"It's worth trying the app to see if it works on your device, because it's really a great set of games for kids. I trust the games to be fun, safe, and lacking manipulative marketing. That said, I have to rate it poorly because it's been broken on my daughter's Chromebook for about 6 months. Emails to the developer email listed on the Play Store have fallen on deaf ears. Unfortunate.",Michael Akerman,54e36d0b-001c-4838-92e8-73193d0de9e7,PBS KIDS Games App,org.pbskids.gamesapp,2,125,1,Praise and Comparisons,PBS KIDS,Educational,Everyone,False
590,I really love this game! Ever since I downloaded this game I have been using it on my computer. I also love 💖 PBS kids TV shows . That's what I grew up on. ( odd squad is my favorite),Justice Brielle,10204ddc-d482-4a18-935b-3a058c2ba979,PBS KIDS Games App,org.pbskids.gamesapp,5,114,1,Praise and Comparisons,PBS KIDS,Educational,Everyone,False
595,"The app is great overall but you can't cancel pending downloads, so when my kids try to download 50 games at once, and they really only want the latest choice, there's no way to stop or prioritize the others. If I clear all data I would think I could start over from scratch but something still prevents it from starting new downloads after that. There should be some sort of queue parents can access to stop specific downloads, or we should be able to click a game once more to display options.",Bradford Johnson,2d8121f7-2c07-4cfc-9139-ee63bf0868b2,PBS KIDS Games App,org.pbskids.gamesapp,3,469,2,Issues Concerns,PBS KIDS,Educational,Everyone,False
615,"There are some great games in here, but the sheer amount of games and the fact that there is no ability to sort by age or only allow certain games makes the app really frustrating for my 3 year old. She keeps opening games that are too difficult for her age and then getting mad that she can't figure out how to play them. If there were an option to only show games for a certain age or just to allow parents to only select a few games to show on the main screen at a time then it would be perfect!",Bazil Zerinsky,2eb9af2b-d9a3-48a0-9c95-ed69b1ded689,PBS KIDS Games App,org.pbskids.gamesapp,3,590,3,Graphics & Gameplay,PBS KIDS,Educational,Everyone,False
628,"The games are fun. But I have one small problem. In the Wild Kratts Cats and Dogs game, you collect stickers at the end of each time you rescue a wild dog or cat. But your progress doesn't save and resets every single time. This is really annoying and I wish there was a way to save your progress.",Olivia 757,0a3a5443-e1aa-4aaa-b28e-c488673f6751,PBS KIDS Games App,org.pbskids.gamesapp,4,726,3,Graphics & Gameplay,PBS KIDS,Educational,Everyone,False
631,"My son is having fun learning numbers,it's even quick to pick up for kids . And I'm happy it's for free and that the founder of this app is Vivek who might be Indian for sure. I like the idea and concern he has mainly I feel like he started this just for Indian kids and ofcourse for all who are having hard time teaching kids. It's combined with fun game, encouragement, intrest and easy learning please support so that all kids would learn with fun.😊🥰👍",Nancy David,6d27b953-1aa7-497a-b71a-fdd55c4aa947,Math Kids: Math Games For Kids,com.rvappstudios.math.kids.counting,5,160,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
634,This app and their amazing lessons coupled with the award of certificates have given us and our child an academic confidence reckoned with excellent and exceptional communication skills that we did not expect. It is truly an app that meets its purpose. God bless you and your team. Thank you from all of us. Arc. Saiam and Dr. Jennifer Ehis,Saiam Ehis,293fa410-7e01-4401-bbf5-3bedfda95113,Math Kids: Math Games For Kids,com.rvappstudios.math.kids.counting,5,216,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
639,Very educational and easy to use. Also the fact that there are no pop up ads is really good,sisonke amanda yantolo,98b2be10-39ff-4445-ae82-e0404f560cf4,Math Kids: Math Games For Kids,com.rvappstudios.math.kids.counting,5,114,3,Graphics & Gameplay,RV AppStudios,Educational,Everyone,False
645,Amazing! It also has different languages and user friendly. It is an educational apps that can be enjoy by kids. Thank you for this app. 😊,Abegail Inducil,01a730d8-0def-4943-aa6e-0102b2536ece,Math Kids: Math Games For Kids,com.rvappstudios.math.kids.counting,5,197,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
646,Lucas and Friends is a great free app for kids. It helps our child participate with fun math facts and issues timely rewards. The app also allows the child to become successful with math at their own pace.,Al White,d513d48e-2f0b-4da3-8383-2477b20ddb97,Math Kids: Math Games For Kids,com.rvappstudios.math.kids.counting,5,593,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
647,I never know this free app existed until today. Thank you to the bright minds behind this APP. This will surely help me child learn and love math.,Cyrene Jo,9a0b2cc9-92c6-4425-84af-3798d615447c,Math Kids: Math Games For Kids,com.rvappstudios.math.kids.counting,5,120,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
651,"it is very useful, the app has been teaching my little brother and is making his smarter every day. This game is now his favourite game of them all.",Tiffany Tavuir,aec6fa75-a09e-4e9c-b1f7-deaccff414e7,Math Kids: Math Games For Kids,com.rvappstudios.math.kids.counting,5,101,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
657,"Best app maker for kids! On top of that they have french language option NO ADS! Thank u very much developer/s update: excellent app for 2 year old because it's very easy, I have the difficult version but I prefer this one",random human,d20077b4-43fc-4fbc-a693-466b5676541c,Math Kids: Math Games For Kids,com.rvappstudios.math.kids.counting,5,953,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
660,My daughter enjoys all your apps. I've ensured to get each one,Davia Halladeen,085e4037-c237-4ea9-bc5d-107c2574d8f4,Math Kids: Math Games For Kids,com.rvappstudios.math.kids.counting,5,107,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
662,I'm impressed with the amount of learning options for my kids especially since it's free and no ads app,Susan Miller,afac610e-eaa5-4a36-bf3a-978c8bd7e2f1,Math Kids: Math Games For Kids,com.rvappstudios.math.kids.counting,5,157,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
665,"the app is good is just great for my son and even myself,,.",Christine Ooko,218b8cb1-20a4-4527-a58f-98487b207e45,Math Kids: Math Games For Kids,com.rvappstudios.math.kids.counting,1,709,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
676,"Fantastic, my child easily understood and enjoyed ....Expect more of this kind in future. Thank you so much team.",VikranthMS,d2bc7f0a-6448-4270-a714-40d1a22ef5cb,Math Kids: Math Games For Kids,com.rvappstudios.math.kids.counting,5,192,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
677,"The previous version was good cause it was more funny and the new features disturb the learning, the balloon 🎈 was funny not now. I hope the features will be improved And it's just my personal opinion.",Mahin Ahmed,b1d63b28-f839-42bb-bfeb-cc37287cdad1,Math Kids: Math Games For Kids,com.rvappstudios.math.kids.counting,4,525,3,Graphics & Gameplay,RV AppStudios,Educational,Everyone,False
678,"My son has figured out that if he waits for about 10 seconds the correct answer choice will shake and then he picks that one and moves it to the answer box, please correct this loophole! I want him to figure out the correct answer without being promoted 😕","Shafik Ahmad, M.D.",0b24077a-df44-4b93-88b5-ba1cc0f2225a,Math Kids: Math Games For Kids,com.rvappstudios.math.kids.counting,2,129,2,Issues Concerns,RV AppStudios,Educational,Everyone,False
681,"My autistic son loves these games and has started showing great progress with his speech, although he falls under non-verbal. Thank you for making them with no ads. It helps my son concentrate more on learning and less on irritating distractions. Keep up the great work. The printables are amazing too and colourful, which helps my son stay focused on the exercises. I highly recommend this app for parents with ASD children.",Craig Woolridge,23101dd6-7958-490b-967c-4ab5a351de51,Math Kids: Math Games For Kids,com.rvappstudios.math.kids.counting,5,1298,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
682,My 4 year old loves to do school while my 7 year old really does do school. I love this app because he has a variety of of activities to do and he's actylually learning all while having fun. We love Lucas and frie ds in our house!,Tania Tala,f70607b6-b549-476e-9db6-0e4cc966b357,Math Kids: Math Games For Kids,com.rvappstudios.math.kids.counting,5,393,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
683,very good for kids who are just starting to recognize letters,Elispawa Lenggang,244dcd9b-4ede-4527-bf9c-a30dd21d79ac,Math Kids: Math Games For Kids,com.rvappstudios.math.kids.counting,5,111,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
685,"I do care about the game, it's so fun, banned ads and I like and love the game and it is loseless! Some games has adies and ads are TERRIBLE!",Elias Ryanna,6de17753-9c49-413c-b926-99f60d7741b6,Math Kids: Math Games For Kids,com.rvappstudios.math.kids.counting,5,105,3,Graphics & Gameplay,RV AppStudios,Educational,Everyone,False
